#TimeStamp;TripTime;Type
36;13;O
39;12;O
40;15;O
46;29;O
48;37;O
61;31;I
63;35;O
64;42;O
65;31;I
68;42;I
69;39;O
74;43;I
86;61;O
87;47;O
88;50;O
94;65;O
95;58;O
96;51;I
99;56;I
99;69;O
102;68;O
109;64;O
122;60;I
123;83;O
124;91;I
139;35;O
141;36;O
150;21;O
172;21;O
185;37;I
186;34;O
202;26;O
210;29;O
210;33;O
247;46;O
267;35;O
268;23;O
273;34;O
292;29;O
304;44;I
308;30;O
310;64;I
310;32;O
314;48;I
327;58;I
339;33;O
349;29;O
362;47;O
365;42;O
366;34;O
373;22;O
377;28;O
380;41;O
394;57;I
402;50;I
407;45;I
411;48;O
412;36;O
412;48;I
414;87;O
423;24;O
434;32;O
450;32;O
464;34;O
468;123;O
486;50;O
494;46;O
496;28;O
501;41;O
523;37;O
523;42;I
537;40;O
547;70;I
550;32;O
571;53;O
571;77;I
587;53;I
616;22;O
616;50;I
617;39;O
631;40;O
634;16;O
638;39;O
641;19;O
657;70;I
664;33;O
677;54;I
681;54;O
683;67;I
683;72;O
700;85;O
719;42;O
722;35;I
743;29;O
750;42;O
751;51;I
764;54;O
771;27;O
788;58;I
790;28;O
793;34;O
801;45;O
805;69;I
837;39;O
848;37;O
850;44;O
859;61;I
865;44;O
865;48;I
871;68;I
872;37;I
876;18;O
895;57;O
903;49;O
908;50;O
913;34;O
917;27;O
919;75;O
928;36;I
929;34;O
936;38;O
946;26;O
959;50;I
981;41;O
995;64;O
999;36;I
1008;26;O
1038;44;I
1038;39;O
1042;42;I
1043;41;O
1044;6;O
1050;40;O
1066;30;O
1089;49;O
1089;43;O
1100;61;I
1103;26;O
1116;24;O
1124;41;O
1132;30;O
1134;69;I
1138;91;O
1160;55;O
1166;41;O
1179;62;I
1185;40;O
1189;15;O
1196;80;I
1198;49;O
1204;34;O
1211;23;O
1229;53;O
1234;51;I
1249;61;I
1249;74;I
1252;47;I
1255;31;O
1270;35;O
1284;47;O
1311;44;I
1312;60;O
1321;67;I
1322;28;O
1324;38;O
1328;51;O
1342;54;I
1357;51;O
1358;38;O
1365;34;O
1369;88;O
1379;68;O
1389;38;O
1401;44;I
1417;47;O
1425;34;I
1427;54;O
1437;47;O
1440;60;O
1446;32;O
1454;46;I
1458;70;O
1477;55;I
1485;29;O
1494;46;I
1498;32;O
1507;46;O
1513;23;O
1522;47;O
1527;54;O
1534;27;O
1539;57;I
1541;56;I
1547;50;O
1558;40;O
1559;74;O
1572;39;O
1589;34;O
1597;63;I
1600;58;I
1613;70;I
1619;35;I
1646;52;O
1647;49;O
1653;24;O
1661;33;O
1685;33;O
1695;40;I
1703;56;I
1704;50;O
1715;62;I
1742;72;O
1746;43;O
1748;18;O
1757;14;O
1757;26;O
1775;56;I
1775;44;O
1782;116;O
1785;65;O
1788;33;I
1792;36;O
1794;45;I
1798;75;O
1822;32;O
1844;45;O
1858;66;I
1863;18;O
1875;23;O
1880;74;O
1880;79;I
1905;33;O
1907;46;O
1907;72;I
1919;52;O
1935;31;O
1942;40;O
1946;18;O
1952;48;O
1960;69;I
1960;30;O
1974;87;I
1988;44;O
1996;24;O
2004;91;I
2005;77;O
2009;22;O
2024;33;O
2030;65;O
2030;44;I
2035;78;I
2042;76;I
2044;42;O
2044;48;O
2059;23;I
2069;34;O
2086;26;O
2093;95;O
2094;46;I
2094;47;I
2096;35;O
2100;37;O
2120;30;O
2134;39;O
2134;64;O
2143;22;O
2148;24;O
2150;48;I
2153;58;O
2153;49;O
2157;41;O
2160;32;I
2165;23;O
2170;28;O
2178;27;I
2179;57;O
2213;44;O
2219;67;O
2235;33;I
2242;27;O
2252;35;O
2262;74;O
2273;41;I
2273;68;I
2283;40;O
2289;73;O
2291;88;I
2295;28;O
2321;30;I
2326;25;O
2338;18;O
2361;49;O
2363;45;I
2363;39;O
2372;68;I
2382;17;O
2383;37;O
2393;19;O
2396;44;O
2397;31;I
2398;43;O
2400;59;I
2402;29;I
2408;45;O
2408;31;O
2417;47;O
2446;26;O
2462;19;O
2468;56;O
2469;45;I
2481;34;O
2486;44;I
2495;30;O
2505;35;O
2507;72;I
2507;46;O
2519;37;O
2522;50;O
2540;22;O
2540;42;I
2562;47;I
2572;35;O
2588;34;O
2599;82;I
2601;42;O
2603;24;O
2608;35;O
2626;52;I
2631;61;O
2632;23;O
2650;35;O
2655;59;I
2680;21;O
2682;56;I
2682;83;O
2685;50;I
2689;55;I
2694;36;O
2707;21;O
2707;45;O
2710;80;I
2722;104;O
2737;38;O
2741;40;O
2758;58;I
2763;61;O
2772;58;O
2781;43;O
2782;38;O
2783;60;I
2795;74;O
2801;30;O
2805;53;O
2807;36;O
2819;37;O
2841;23;O
2849;73;O
2856;79;I
2857;46;O
2865;34;O
2886;61;I
2887;50;I
2904;52;O
2909;58;I
2912;26;O
2922;64;O
2925;65;I
2926;17;I
2928;37;I
2935;33;O
2940;64;I
2947;43;O
2957;26;O
2967;55;O
2976;7;O
2983;97;O
2992;55;I
2992;37;O
2999;30;O
3018;32;O
3042;19;O
3042;54;O
3052;44;O
3055;63;O
3056;43;I
3067;68;O
3068;29;O
3077;31;O
3106;39;I
3108;27;I
3108;21;O
3110;28;I
3119;59;I
3121;41;O
3132;35;O
3147;35;O
3151;67;O
3158;38;O
3158;39;O
3159;7;I
3169;58;I
3181;38;O
3182;33;O
3184;56;I
3199;41;O
3210;37;O
3215;42;I
3223;39;O
3236;52;O
3241;35;O
3249;30;O
3267;29;O
3283;52;O
3295;35;I
3308;21;O
3314;76;I
3315;55;I
3321;13;O
3328;19;O
3330;44;O
3333;29;O
3343;75;O
3354;75;I
3363;18;I
3381;73;O
3388;32;O
3391;15;O
3403;78;I
3416;33;O
3421;34;O
3423;49;O
3435;46;O
3436;53;I
3454;23;O
3461;62;O
3468;108;O
3475;40;O
3481;58;I
3486;40;O
3489;64;O
3496;48;O
3523;30;O
3524;108;I
3525;72;I
3536;64;I
3545;29;O
3552;92;I
3560;44;O
3562;47;O
3575;46;I
3585;33;O
3593;47;I
3605;43;O
3614;22;O
3615;26;O
3615;59;O
3624;80;I
3630;29;O
3634;43;I
3643;52;O
3653;35;O
3657;37;O
3664;27;O
3670;53;I
3683;38;I
3688;37;O
3708;73;O
3716;55;O
3730;49;I
3732;43;O
3750;42;O
3751;54;I
3767;24;O
3775;64;O
3777;42;O
3788;54;O
3801;18;O
3803;31;I
