#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
62.14;0;62.14;62.14;-1737.86
72.79;0;72.79;72.79;-1727.21
82.94;0;82.94;82.94;-1717.06
93.4;0;93.4;30.9;-7106.6
103.78;0;103.78;41.28;-7096.22
114.47;0;114.47;41.55;-7085.53
124.89;0;124.89;41.55;-7075.11
135.31;0;135.31;41.55;-7064.69
243.25;0;243.25;243.25;-1556.75
253.67;0;253.67;128.65;-6946.33
274.09;0;274.09;30.53;-6925.91
377.96;0;377.96;263.35;-1422.04
388.38;0;388.38;252.93;-6811.62
398.8;0;398.8;124.39;-6801.2
409.22;0;409.22;31.13;-6790.78
419.64;0;419.64;41.55;-6780.36
530.3;0;530.3;120.96;-6669.7
540.89;0;540.89;141.96;-6659.11
551.14;0;551.14;20.53;-6648.86
654.58;0;654.58;113.55;-6545.42
665;0;665;245.24;-6535
675.42;0;675.42;20.71;-6524.58
685.84;0;685.84;31.13;-6514.16
696.26;0;696.26;31.13;-6503.74
771.29;0;771.29;771.29;-1028.71
791.71;0;791.71;20.29;-6408.29
802.1;0;802.1;30.68;-997.9
812.59;0;812.59;20.75;-6387.41
822.94;0;822.94;20.68;-6377.06
833.39;0;833.39;20.71;-6366.61
843.85;0;189.14;20.75;-7010.86
900.09;0;900.09;348.63;-6299.91
967.45;0;967.45;967.45;-832.55
1027.77;0;1027.77;127.27;-772.23
1094.71;0;1094.71;66.85;-705.29
1163.36;0;1163.36;68.56;-636.64
1248.47;0;1248.47;84.74;-551.53
1258.89;0;1258.89;572.92;-5941.11
1269.31;0;1269.31;20.71;-5930.69
1375.42;0;1375.42;116.4;-5824.58
1450.43;0;1450.43;1450.43;-349.57
1537.51;0;1537.51;1537.51;-262.49
1614.34;0;1614.34;76.74;-185.66
1706.06;0;1706.06;91.64;-93.94
1726.48;0;1726.48;20.29;-5473.52
1736.9;0;1736.9;30.71;-5463.1
1747.32;0;1747.32;20.71;-5452.68
1757.74;0;1757.74;20.71;-5442.26
1768.16;0;1768.16;20.71;-5431.84
1778.58;0;1778.58;20.71;-5421.42
1789.06;0;1789.06;20.77;-5410.94
