#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
45.67;1;45.67;45.67;-1754.33
45.83;3;45.83;45.83;-7154.17
55.66;1;55.66;55.66;-1744.34
55.93;0;55.93;55.93;-1744.07
63.1;3;63.1;63.1;-7136.9
65.87;1;65.87;20.08;-7134.13
65.98;0;65.98;20.2;-7134.02
70.23;2;70.23;70.23;-1729.77
73.09;3;73.09;73.09;-7126.91
75.98;1;75.98;30.2;-7124.02
76.12;0;76.12;20.14;-7123.88
80.32;2;80.32;17.17;-7119.68
83.23;3;83.23;83.23;-7116.77
86.04;1;86.04;30.21;-7113.96
89.51;0;89.51;89.51;-1710.49
90.6;2;90.6;20.33;-7109.4
93.29;3;93.29;37.46;-7106.71
96.09;1;96.09;30.18;-7103.91
99.64;0;99.64;19.28;-7100.36
100.66;2;100.66;100.66;-7099.34
103.52;3;47.55;40.37;-7152.45
106.31;1;106.31;30.28;-7093.69
109.57;0;109.57;20.02;-7090.43
110.81;2;110.81;110.81;-7089.19
113.69;3;30.41;30.37;-7169.59
116.32;1;116.32;116.32;-1683.68
119.82;0;119.82;20.13;-7080.18
121.02;2;121.02;121.02;-7078.98
126.45;1;126.45;126.45;-1673.55
126.64;3;126.64;126.64;-7073.36
129.82;0;129.82;20.09;-7070.18
130.77;2;130.77;41.21;-7069.23
136.63;1;136.63;30.5;-7063.37
136.68;3;136.68;136.68;-7063.32
140;0;140;140;-1660
141.31;2;141.31;50.62;-7058.69
146.73;1;146.73;146.73;-1653.27
147.22;3;147.22;101.35;-1652.78
150.05;0;150.05;150.05;-1649.95
154.51;2;154.51;154.51;-7045.49
156.97;1;156.97;60.84;-1643.03
157.5;3;157.5;74.22;-7042.5
160;0;160;160;-1640
164.48;2;164.48;164.48;-7035.52
167.23;1;57.5;30.96;-7142.5
167.5;3;87.14;51.32;-7112.86
170.27;0;170.27;41.76;-7029.73
174.95;2;174.95;30.9;-7025.05
177.56;1;177.56;177.56;-1622.44
177.86;3;177.86;177.86;-7022.14
180.56;0;180.56;180.56;-1619.44
185.01;2;185.01;185.01;-7014.99
187.57;1;187.57;187.57;-1612.43
187.73;3;187.73;187.73;-7012.27
190.57;0;190.57;190.57;-1609.43
195.15;2;195.15;195.15;-7004.85
198.03;1;198.03;198.03;-1601.97
198.11;3;198.11;198.11;-7001.89
200.97;0;200.97;60.93;-6999.03
205.42;2;205.42;64.07;-6994.58
208.51;1;132.35;42.12;-7067.65
208.55;3;208.55;104.99;-6991.45
211.11;0;211.11;42.47;-6988.89
215.49;2;169.7;41.36;-7030.3
218.36;1;112.23;50.86;-7087.77
218.6;3;218.6;71.17;-6981.4
221.23;0;110.36;50.73;-7089.64
225.81;2;97.3;50.75;-7102.7
