#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;1;0/0;0/0;0/0;0/0;0/0;0/16;0/0;0/16;0/0;0/1;0/0;0/0;0/0;0/0
59.85;0;0;1;1;0/59.85;0/52.5;0/59.85;0/59.85;0/17;0/13;0/17;0/15;0/0;0/1;0/0;0/0;0/0;0/1
119.95;0;0;1;1;0/119.95;0/56.81;0/119.95;0/119.95;0/17;0/13;0/17;0/15;0/0;0/1;0/0;0/0;0/0;0/7
179.69;0;0;1;1;0/179.69;0/72.09;0/179.69;0/179.69;0/17;0/14;0/17;0/17;0/0;0/1;0/0;0/0;0/0;0/11
239.75;0;1;1;1;0/239.75;0/117.11;0/239.75;0/239.75;0/17;0/17;0/17;0/19;0/0;0/1;0/0;0/1;0/0;0/13
299.93;0;1;1;1;0/299.93;0/143.73;0/299.93;0/299.93;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/1;0/0;0/16
359.77;0;2;1;1;0/359.77;0/192.44;0/359.77;0/359.77;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/2;0/0;0/18
419.87;0;2;1;1;0/419.87;0/195;0/419.87;0/419.87;0/17;0/18;0/17;0/20;0/0;0/1;0/0;0/2;0/0;0/23
479.74;0;2;1;1;0/479.74;0/235.25;0/479.74;0/479.74;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/2;0/0;0/25
539.87;0;3;1;1;0/539.87;0/258.43;0/539.87;0/539.87;0/17;0/18;0/17;0/21;0/0;0/1;0/0;0/3;0/0;0/29
599.61;0;3;1;1;0/599.61;0/286.54;0/599.61;0/599.61;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/3;0/0;0/32
659.99;0;4;1;1;0/659.99;0/327.37;0/659.99;0/659.99;0/17;0/15;0/17;0/17;0/0;0/1;0/0;0/4;0/0;0/34
719.78;0;5;1;1;0/719.78;0/363.33;0/719.78;0/719.78;0/17;0/15;0/17;0/16;0/0;0/1;0/0;0/5;0/0;0/37
779.74;0;5;1;1;0/779.74;0/368.12;0/779.74;0/779.74;0/17;0/16;0/17;0/16;0/0;0/1;0/0;0/5;0/0;0/42
839.87;0;6;1;1;0/839.87;0/418.34;0/839.87;0/839.87;0/17;0/17;0/17;0/17;0/0;0/1;0/0;0/6;0/0;0/43
899.59;0;7;1;1;0/899.59;0/460.79;0/899.59;0/899.59;0/17;0/15;0/17;0/15;0/0;0/1;0/0;0/7;0/0;0/45
959.89;0;8;1;1;0/959.89;0/508.59;0/959.89;0/959.89;0/17;0/16;0/17;0/16;0/0;0/1;0/0;0/8;0/0;0/46
1019.7;0;9;1;1;0/1019.7;0/564.31;0/1019.7;0/1019.7;0/17;0/15;0/17;0/15;0/0;0/1;0/0;0/9;0/0;0/47
1079.6;0;9;1;1;0/1079.6;0/618.36;0/1079.6;0/1079.6;0/17;0/14;0/17;0/17;0/0;0/1;0/0;0/9;0/0;0/47
1139.87;0;10;1;1;0/1139.87;0/627.14;0/1139.87;0/1139.87;0/17;0/17;0/17;0/17;0/0;0/1;0/0;0/10;0/0;0/53
1199.62;0;11;1;1;0/1199.62;0/673.08;0/1199.62;0/1199.62;0/17;0/16;0/17;0/16;0/0;0/1;0/0;0/11;0/0;0/54
1259.77;0;11;1;1;0/1259.77;0/730.63;0/1259.77;0/1259.77;0/17;0/17;0/17;0/18;0/0;0/1;0/0;0/11;0/0;0/54
1319.83;0;12;1;1;0/1319.83;0/780.77;0/1319.83;0/1319.83;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/12;0/0;0/55
1379.75;0;13;1;1;0/1379.75;0/820.9;0/1379.75;0/1379.75;0/17;0/17;0/17;0/18;0/0;0/1;0/0;0/13;0/0;0/57
1439.83;0;14;1;1;0/1439.83;0/871.01;0/1439.83;0/1439.83;0/17;0/18;0/17;0/20;0/0;0/1;0/0;0/14;0/0;0/58
1499.61;0;15;1;1;0/1499.61;0/911.15;0/1499.61;0/1499.61;0/17;0/19;0/17;0/19;0/0;0/1;0/0;0/15;0/0;0/60
1559.68;0;16;1;1;0/1559.68;0/955.22;0/1559.68;0/1559.68;0/17;0/17;0/17;0/17;0/0;0/1;0/0;0/16;0/0;0/62
1619.63;0;16;1;1;0/1619.63;0/1011.36;0/1619.63;0/1619.63;0/17;0/17;0/17;0/20;0/0;0/1;0/0;0/16;0/0;0/62
1679.68;0;17;1;1;0/1679.68;0/1041.76;0/1679.68;0/1679.68;0/17;0/17;0/17;0/19;0/0;0/1;0/0;0/17;0/0;0/65
1739.72;0;18;1;1;0/1739.72;0/1082.19;0/1739.72;0/1739.72;0/17;0/20;0/17;0/20;0/0;0/1;0/0;0/18;0/0;0/67
1799.64;0;19;1;1;0/1799.64;0/1134.29;0/1799.64;0/1799.64;0/17;0/19;0/17;0/19;0/0;0/1;0/0;0/19;0/0;0/68
