#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;218.73;0.08;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
59.97;253.76;4.36;PP/2.74,TA/1.43,IS/0,PS/0.28,RB/0.01,OB/0.02,RP/0
119.85;250.68;5.06;PP/3.09,TA/1.73,IS/0,PS/0.58,RB/0.01,OB/0.02,RP/0
179.84;249.73;5.66;PP/3.22,TA/2.16,IS/0,PS/0.69,RB/0.01,OB/0.02,RP/0
240;248.31;6.32;PP/3.41,TA/2.61,IS/0,PS/0.97,RB/0.01,OB/0.03,RP/0
299.88;247.92;6.59;PP/3.57,TA/2.68,IS/0,PS/1,RB/0.01,OB/0.03,RP/0
359.89;246.21;7.16;PP/3.93,TA/2.84,IS/0,PS/1.05,RB/0.01,OB/0.03,RP/0
419.73;243.88;7.56;PP/4.14,TA/3,IS/0,PS/1.08,RB/0.01,OB/0.03,RP/0
479.98;242.48;8.19;PP/4.35,TA/3.38,IS/0,PS/1.13,RB/0.01,OB/0.04,RP/0
539.98;239.13;9.05;PP/4.9,TA/3.65,IS/0,PS/1.18,RB/0.01,OB/0.04,RP/0
599.78;236.46;9.42;PP/5.13,TA/3.75,IS/0,PS/1.23,RB/0.01,OB/0.04,RP/0
659.99;234.01;9.82;PP/5.28,TA/3.97,IS/0,PS/1.27,RB/0.01,OB/0.05,RP/0
719.96;233.07;10.51;PP/5.55,TA/4.35,IS/0,PS/1.32,RB/0.01,OB/0.05,RP/0
779.99;232.2;10.94;PP/5.87,TA/4.42,IS/0,PS/1.36,RB/0.01,OB/0.05,RP/0
839.87;231.27;11.48;PP/6.23,TA/4.56,IS/0,PS/1.4,RB/0.01,OB/0.06,RP/0
899.95;231.22;11.98;PP/6.61,TA/4.64,IS/0,PS/1.41,RB/0.01,OB/0.06,RP/0
959.98;228.82;12.45;PP/6.97,TA/4.72,IS/0,PS/1.46,RB/0.01,OB/0.06,RP/0
1020;226.24;13.18;PP/7.28,TA/5.09,IS/0,PS/1.48,RB/0.01,OB/0.06,RP/0
1079.97;226.33;13.62;PP/7.62,TA/5.16,IS/0,PS/1.5,RB/0.01,OB/0.06,RP/0
1139.93;225.05;14.4;PP/8.17,TA/5.33,IS/0,PS/1.53,RB/0.01,OB/0.07,RP/0
1199.98;225.05;14.95;PP/8.61,TA/5.41,IS/0,PS/1.55,RB/0.01,OB/0.07,RP/0
1259.96;223.74;15.56;PP/9.03,TA/5.56,IS/0,PS/1.55,RB/0.01,OB/0.07,RP/0
1319.96;223.75;16.05;PP/9.42,TA/5.62,IS/0,PS/1.57,RB/0.01,OB/0.08,RP/0
1379.97;222.47;16.56;PP/9.83,TA/5.67,IS/0,PS/1.61,RB/0.01,OB/0.08,RP/0
1439.94;221.21;16.98;PP/10.2,TA/5.7,IS/0,PS/1.63,RB/0.01,OB/0.08,RP/0
1499.96;220.22;17.67;PP/10.54,TA/6,IS/0,PS/1.64,RB/0.01,OB/0.08,RP/0
1559.73;219.79;18.22;PP/10.98,TA/6.08,IS/0,PS/1.66,RB/0.01,OB/0.08,RP/0
1619.96;219.79;18.84;PP/11.45,TA/6.18,IS/0,PS/1.68,RB/0.01,OB/0.09,RP/0
1679.96;218.3;19.43;PP/11.95,TA/6.23,IS/0,PS/1.69,RB/0.01,OB/0.09,RP/0
1739.96;217.08;20.07;PP/12.42,TA/6.36,IS/0,PS/1.7,RB/0.01,OB/0.09,RP/0
1799.96;216.98;20.75;PP/12.98,TA/6.44,IS/0,PS/1.71,RB/0.01,OB/0.09,RP/0
1859.95;215.8;21.35;PP/13.52,TA/6.45,IS/0.01,PS/1.72,RB/0.01,OB/0.09,RP/0
1919.96;215.79;22.12;PP/14.11,TA/6.59,IS/0.01,PS/1.73,RB/0.01,OB/0.09,RP/0
1979.96;214.78;22.75;PP/14.67,TA/6.61,IS/0.01,PS/1.73,RB/0.01,OB/0.09,RP/0
2039.99;214.79;23.5;PP/15.39,TA/6.62,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2099.96;213.3;24.21;PP/16.06,TA/6.62,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2159.87;213.32;24.87;PP/16.68,TA/6.62,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2219.98;213.35;25.57;PP/17.35,TA/6.62,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2279.93;213.35;26.25;PP/17.99,TA/6.63,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2340;211.86;26.94;PP/18.64,TA/6.63,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2400;211.81;27.64;PP/19.3,TA/6.63,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2459.96;210;28.29;PP/19.92,TA/6.63,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2520;209.93;28.97;PP/20.56,TA/6.63,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2580;209.92;29.66;PP/21.21,TA/6.63,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2640;209.97;30.35;PP/21.87,TA/6.63,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2699.98;208.05;31.11;PP/22.59,TA/6.64,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2760;208.01;31.9;PP/23.34,TA/6.64,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2820;207.97;32.71;PP/24.11,TA/6.64,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2879.98;208.05;33.5;PP/24.87,TA/6.64,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
2939.96;208.08;34.26;PP/25.59,TA/6.64,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
3000;206.34;35.02;PP/26.31,TA/6.64,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
3059.98;205.43;35.76;PP/27.01,TA/6.64,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
3119.98;205.41;36.51;PP/27.73,TA/6.64,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
3180;203.78;37.26;PP/28.44,TA/6.64,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
3239.98;203.73;38.01;PP/29.16,TA/6.64,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
3299.98;203.71;38.75;PP/29.87,TA/6.65,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
3360;203.71;39.5;PP/30.59,TA/6.65,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
3419.98;202.55;40.25;PP/31.29,TA/6.65,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
3479.93;201.46;40.99;PP/32,TA/6.65,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
3540;201.38;41.73;PP/32.71,TA/6.65,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
3600;201.41;42.47;PP/33.42,TA/6.65,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
3660;200.41;43.23;PP/34.14,TA/6.65,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
3720;200.41;43.97;PP/34.84,TA/6.65,IS/0.01,PS/1.74,RB/0.01,OB/0.09,RP/0
